"Date","Price","Open","High","Low","Change %"
"Dec 20, 2017","17,505.00","17,340.00","17,616.00","15,710.00","0.92"
"Dec 19, 2017","17,345.00","18,931.00","18,987.00","16,500.00","-8.39"
"Dec 18, 2017","18,934.00","18,959.00","19,171.00","18,010.00","-0.20"
"Dec 17, 2017","18,971.00","19,210.00","19,891.00","18,622.00","-1.13"
"Dec 16, 2017","19,187.00","17,569.55","19,548.00","17,098.00","9.50"
"Dec 15, 2017","17,522.00","16,396.00","18,098.00","16,352.00","6.95"
"Dec 14, 2017","16,383.00","16,122.00","16,999.00","15,870.00","1.25"
"Dec 13, 2017","16,181.00","17,010.00","17,288.00","15,674.00","-4.63"
"Dec 12, 2017","16,967.00","16,754.00","17,500.00","16,234.00","1.27"
"Dec 11, 2017","16,754.00","14,937.00","17,443.00","14,937.00","11.72"
"Dec 10, 2017","14,997.00","14,660.00","15,728.00","12,748.00","2.30"
"Dec 09, 2017","14,660.00","15,829.00","16,300.00","13,021.00","-7.62"
"Dec 08, 2017","15,869.00","16,608.00","17,160.00","13,774.00","-4.41"
"Dec 07, 2017","16,601.00","13,500.00","16,639.00","13,154.00","22.72"
"Dec 06, 2017","13,527.00","11,590.00","13,598.00","11,590.00","16.66"
"Dec 05, 2017","11,595.00","11,611.00","11,949.00","11,414.00","0.00"
"Dec 04, 2017","11,595.00","11,162.00","11,598.00","10,788.00","3.93"
"Dec 03, 2017","11,157.00","10,880.00","11,842.00","10,299.00","2.54"
"Dec 02, 2017","10,881.00","10,852.00","11,187.00","10,627.00","0.11"
"Dec 01, 2017","10,869.00","9,907.00","10,949.00","9,370.10","9.71"
"Nov 30, 2017","9,907.00","9,771.90","10,540.00","8,821.00","1.62"
"Nov 29, 2017","9,749.40","9,891.90","11,427.17","9,001.10","-1.50"
"Nov 28, 2017","9,898.00","9,727.10","9,977.77","9,608.30","1.74"
"Nov 27, 2017","9,728.80","9,303.90","9,760.70","9,268.90","4.43"
"Nov 26, 2017","9,316.00","8,791.00","9,495.00","8,769.20","6.27"
"Nov 25, 2017","8,766.20","8,191.60","8,770.00","8,132.90","7.01"
"Nov 24, 2017","8,191.60","7,977.00","8,350.70","7,873.00","2.69"
"Nov 23, 2017","7,977.10","8,230.00","8,267.60","7,977.10","-3.07"
"Nov 22, 2017","8,230.10","8,097.30","8,310.00","8,064.30","1.64"
"Nov 21, 2017","8,097.30","8,245.10","8,380.00","7,790.00","-1.79"
"Nov 20, 2017","8,245.10","8,052.80","8,310.20","7,943.40","2.37"
"Nov 19, 2017","8,054.20","7,770.60","8,126.90","7,652.00","3.61"
"Nov 18, 2017","7,773.30","7,674.10","7,867.00","7,419.50","1.24"
"Nov 17, 2017","7,677.90","7,865.00","8,029.80","7,511.10","-2.37"
"Nov 16, 2017","7,864.20","7,273.70","8,012.90","7,099.90","8.05"
"Nov 15, 2017","7,278.30","6,589.90","7,310.20","6,589.90","10.63"
"Nov 14, 2017","6,579.20","6,476.50","6,687.80","6,315.40","1.62"
"Nov 13, 2017","6,474.60","5,806.50","6,680.00","5,786.10","11.21"
"Nov 12, 2017","5,822.10","6,282.40","6,465.00","5,426.00","-7.60"
"Nov 11, 2017","6,300.70","6,541.20","6,788.00","6,166.00","-3.69"
"Nov 10, 2017","6,542.20","7,123.30","7,313.10","6,405.20","-8.20"
"Nov 09, 2017","7,126.20","7,447.00","7,447.00","7,017.60","-4.25"
"Nov 08, 2017","7,442.40","7,102.00","7,895.00","7,029.90","4.77"
"Nov 07, 2017","7,103.30","6,959.60","7,214.40","6,959.00","2.13"
"Nov 06, 2017","6,955.00","7,355.10","7,429.50","6,915.10","-5.78"
"Nov 05, 2017","7,382.00","7,370.90","7,595.00","7,272.00","0.18"
"Nov 04, 2017","7,369.00","7,104.00","7,521.10","6,936.50","1.24"
"Nov 03, 2017","7,278.40","7,018.90","7,447.50","6,926.50","3.68"
"Nov 02, 2017","7,019.90","6,735.00","7,315.10","6,724.50","4.35"
"Nov 01, 2017","6,727.30","6,450.20","6,727.30","6,348.00","4.17"
"Oct 31, 2017","6,458.30","6,129.90","6,472.10","6,082.70","5.44"
"Oct 30, 2017","6,125.30","6,146.00","6,237.20","6,010.00","-0.50"
"Oct 29, 2017","6,156.00","5,718.10","6,330.00","5,662.90","7.61"
"Oct 28, 2017","5,720.60","5,759.80","5,863.90","5,634.70","-0.68"
"Oct 27, 2017","5,759.60","5,890.00","6,010.20","5,681.20","-2.21"
