Date,Price,Open,High,Low,Change %
"Dec 20, 2017",17505,17340,17616,15710,0.92
"Dec 19, 2017",17345,18931,18987,16500,-8.39
"Dec 18, 2017",18934,18959,19171,18010,-0.2
"Dec 17, 2017",18971,19210,19891,18622,-1.13
"Dec 16, 2017",19187,17569.55,19548,17098,9.5
"Dec 15, 2017",17522,16396,18098,16352,6.95
"Dec 14, 2017",16383,16122,16999,15870,1.25
"Dec 13, 2017",16181,17010,17288,15674,-4.63
"Dec 12, 2017",16967,16754,17500,16234,1.27
"Dec 11, 2017",16754,14937,17443,14937,11.72
"Dec 10, 2017",14997,14660,15728,12748,2.3
"Dec 09, 2017",14660,15829,16300,13021,-7.62
"Dec 08, 2017",15869,16608,17160,13774,-4.41
"Dec 07, 2017",16601,13500,16639,13154,22.72
"Dec 06, 2017",13527,11590,13598,11590,16.66
"Dec 05, 2017",11595,11611,11949,11414,0
"Dec 04, 2017",11595,11162,11598,10788,3.93
"Dec 03, 2017",11157,10880,11842,10299,2.54
"Dec 02, 2017",10881,10852,11187,10627,0.11
"Dec 01, 2017",10869,9907,10949,9370.1,9.71
"Nov 30, 2017",9907,9771.9,10540,8821,1.62
"Nov 29, 2017",9749.4,9891.9,11427.17,9001.1,-1.5
"Nov 28, 2017",9898,9727.1,9977.77,9608.3,1.74
"Nov 27, 2017",9728.8,9303.9,9760.7,9268.9,4.43
"Nov 26, 2017",9316,8791,9495,8769.2,6.27
"Nov 25, 2017",8766.2,8191.6,8770,8132.9,7.01
"Nov 24, 2017",8191.6,7977,8350.7,7873,2.69
"Nov 23, 2017",7977.1,8230,8267.6,7977.1,-3.07
"Nov 22, 2017",8230.1,8097.3,8310,8064.3,1.64
"Nov 21, 2017",8097.3,8245.1,8380,7790,-1.79
"Nov 20, 2017",8245.1,8052.8,8310.2,7943.4,2.37
"Nov 19, 2017",8054.2,7770.6,8126.9,7652,3.61
"Nov 18, 2017",7773.3,7674.1,7867,7419.5,1.24
"Nov 17, 2017",7677.9,7865,8029.8,7511.1,-2.37
"Nov 16, 2017",7864.2,7273.7,8012.9,7099.9,8.05
"Nov 15, 2017",7278.3,6589.9,7310.2,6589.9,10.63
"Nov 14, 2017",6579.2,6476.5,6687.8,6315.4,1.62
"Nov 13, 2017",6474.6,5806.5,6680,5786.1,11.21
"Nov 12, 2017",5822.1,6282.4,6465,5426,-7.6
"Nov 11, 2017",6300.7,6541.2,6788,6166,-3.69
"Nov 10, 2017",6542.2,7123.3,7313.1,6405.2,-8.2
"Nov 09, 2017",7126.2,7447,7447,7017.6,-4.25
"Nov 08, 2017",7442.4,7102,7895,7029.9,4.77
"Nov 07, 2017",7103.3,6959.6,7214.4,6959,2.13
"Nov 06, 2017",6955,7355.1,7429.5,6915.1,-5.78
"Nov 05, 2017",7382,7370.9,7595,7272,0.18
"Nov 04, 2017",7369,7104,7521.1,6936.5,1.24
"Nov 03, 2017",7278.4,7018.9,7447.5,6926.5,3.68
"Nov 02, 2017",7019.9,6735,7315.1,6724.5,4.35
"Nov 01, 2017",6727.3,6450.2,6727.3,6348,4.17
"Oct 31, 2017",6458.3,6129.9,6472.1,6082.7,5.44
"Oct 30, 2017",6125.3,6146,6237.2,6010,-0.5
"Oct 29, 2017",6156,5718.1,6330,5662.9,7.61
"Oct 28, 2017",5720.6,5759.8,5863.9,5634.7,-0.68
"Oct 27, 2017",5759.6,5890,6010.2,5681.2,-2.21
"Oct 26, 2017",5890,5724.2,5966.6,5680.5,2.97
"Oct 25, 2017",5720,5509.9,5743.9,5367.9,3.82
"Oct 24, 2017",5509.5,5902.5,5902.5,5457.5,-6.73
"Oct 23, 2017",5906.9,5980.5,6051,5639.8,-1.23
